S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S65	S66	S67	S68	S69	S70	S71	S73	S74	S75	S76	S77	S78	S79	S81	S82	S83	S84	S85	S86	S87	S89	S90	S91	S93	S94	S97	S98	S99	S100	S101	S102	S104	S105
Zotu1	5716	683426	2801	12940	3017	84811	143598	5520	5395	12273	2895	368716	50910	168406	5006	281169	2883	3974	1413	1555	3063	2845	32875	626441	2925	5156	1673	1922	337768	149096	2224	302381	551938	9356	3146	3464	3077	224444	5416	861315	3497	638688	2254	2118	61605	4095	263957	3343	1326	2003	4510	418	511	2194	812	7284	775875	860473	480511	5577	380426	181682	8133	3755	5930	1978	92327	6728	4248	844499	178990	195875	2817	3180	3119	906770	337037	471804	106105	2641	290810	2611	331586	4703	3340	497713	287226	105847	94162	10632	183	82519	2248	152072	733	1867	443028
Zotu10	3	8	7	3884	3	17	3	2	5	35	6102	2	2	5	2	4	0	0	3	1	4	0	1	0	5	0	6	0	0	4	0	0	1	41	3	0	7	0	0	0	0	0	11	1	27	0	0	0	43	7	3	1	0	7	0	16	0	0	21	3	57	0	4	0	0	31	10	0	0	0	0	1	3	0	0	0	0	0	4	41	5	15	0	16	1	0	4	0	0	1	0	2	6	1	36	0	0
Zotu100	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	2	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	6	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	1	3	0	0	5	0	14	0	0	0
Zotu101	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	52	0	0	2	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu102	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	17	0	0	0	0	0	0	0	9	10	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	1	0	0	0	0	3	0	0	13	0
Zotu103	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	80	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	7	19	0	0	0	0	0	0	0	0	5	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	8	0	0	0	0	0	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	60	0	0	0	0	0	21
Zotu106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu107	3	0	3	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	1	2	1	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	1	1	4	0	0	0	0	2	0	0	0
