OTU_ID	RM81L1S1	RM81L1S9	RM81L1S105	RM81L1S17	RM81L1S113	RM81L1S33	RM81L1S41	RM81L1S49	RM81L1S57	RM81L1S65	RM81L1S74	RM81L1S2	RM81L1S98	RM81L1S10	RM81L1S106	RM81L1S18	RM81L1S114	RM81L1S26	RM81L1S42	RM81L1S50	RM81L1S58	RM81L1S99	RM81L1S11	RM81L1S107	RM81L1S115	RM81L1S43	RM81L1S51	RM81L1S59	RM81L1S67	RM81L1S100	RM81L1S108	RM81L1S20	RM81L1S116	RM81L1S28	RM81L1S36	RM81L1S44	RM81L1S52	RM81L1S60	RM81L1S68	RM81L1S77	RM81L1S5	RM81L1S101	RM81L1S13	RM81L1S109	RM81L1S21	RM81L1S117	RM81L1S29	RM81L1S37	RM81L1S61	RM81L1S69	RM81L1S6	RM81L1S102	RM81L1S14	RM81L1S110	RM81L1S22	RM81L1S118	RM81L1S38	RM81L1S46	RM81L1S62	RM81L1S70	RM81L1S7	RM81L1S103	RM81L1S111	RM81L1S23	RM81L1S119	RM81L1S39	RM81L1S47	RM81L1S55	RM81L1S63	RM81L1S8	RM81L1S104	RM81L1S16	RM81L1S112	RM81L1S120	RM81L1S32	RM81L1S56	RM133L1S12	RM133L1S1	RM133L1S2	RM133L1S3	RM133L1S4	RM133L1S5	RM133L1S9	RM133L1S22	RM133L1S23	RM133L1S24	RM133L1S13	RM133L1S14	RM133L1S15	RM133L1S16	RM133L1S17	RM133L1S20	RM133L1S21	RM133L1S26	RM133L1S27	RM133L1S29	RM133L1S31	RM133L1S32	RM133L1S46	RM133L1S37	RM133L1S39	RM133L1S40	RM133L1S41	RM133L1S42	RM133L1S43	RM133L1S44	RM133L1S58	RM133L1S59	RM133L1S60	RM133L1S49	RM133L1S50	RM133L1S51	RM133L1S52	RM133L1S53	RM133L1S56	RM133L1S57	RM133L1S61	RM133L1S62	RM133L1S67	RM133L1S106	RM133L1S107	RM133L1S108	RM133L1S97	RM133L1S98	RM133L1S99	RM133L1S100	RM133L1S101	RM133L1S102	RM133L1S103	RM133L1S104	RM133L1S105	RM133L1S118	RM133L1S119	RM133L1S120	RM133L1S109	RM133L1S110	RM133L1S111	RM133L1S112	RM133L1S113	RM133L1S114	RM133L1S115	RM133L1S116	RM133L1S117	RM133L1S130	RM133L1S131	RM133L1S132	RM133L1S121	RM133L1S122	RM133L1S123	RM133L1S124	RM133L1S125	RM133L1S126	RM133L1S127	RM133L1S128	RM133L1S129	RM133L1S142	RM133L1S143	RM133L1S144	RM133L1S133	RM133L1S134	RM133L1S135	RM133L1S136	RM133L1S137	RM133L1S138	RM133L1S139	RM133L1S140	RM133L1S141
Otu165	0	6	11	2	25	1	2	32	48	60	45	7	5	3	2	1	3	23	54	73	16	2	3	13	2	26	39	53	83	11	9	16	5	6	6	18	41	85	20	18	9	19	21	8	5	3	6	1	26	164	2	1	5	2	8	11	6	11	81	111	3	8	10	4	8	23	3	7	55	22	11	3	10	6	1	49	3	2	4	2	2	4	3	3	4	7	3	6	3	1	0	4	0	3	0	1	0	3	0	2	0	0	4	0	2	2	2	15	3	4	7	3	1	1	1	3	3	3	1	25	25	27	23	62	35	61	33	30	65	42	49	21	29	95	22	62	33	33	77	72	49	50	30	6	17	6	9	8	28	14	13	5	20	13	23	1	3	1	11	13	7	8	12	7	3	1	8
Otu5050	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu971	1	0	0	0	1	0	7	10	0	10	12	0	2	0	6	0	2	0	4	0	5	4	0	0	0	26	2	31	13	10	1	0	9	0	0	5	10	11	2	0	0	15	0	0	0	1	0	0	15	4	0	11	0	26	0	14	0	11	1	4	0	5	0	0	0	0	13	5	8	0	3	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu2216	0	0	0	0	2	0	3	5	0	2	1	0	0	0	2	0	0	0	2	0	5	0	0	1	2	3	3	4	3	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	10	0	0	0	15	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4709	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu230	0	4	24	0	20	0	61	75	135	96	166	0	64	1	131	0	23	1	42	78	198	27	0	188	75	85	49	117	119	22	79	0	31	1	0	22	130	16	24	68	2	164	3	25	0	69	1	2	42	27	0	64	1	73	0	257	0	41	33	41	1	66	98	0	7	0	95	14	88	7	65	3	49	52	1	70	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
Otu256	0	0	5	0	40	0	21	32	97	11	120	0	40	0	48	0	2	0	35	46	54	26	1	12	20	13	57	211	61	25	397	0	50	0	0	23	64	20	111	51	0	74	0	47	0	22	0	4	57	13	0	137	0	34	0	36	0	8	14	29	0	29	41	0	48	0	13	19	54	0	22	0	10	25	0	77	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	11	7	3	11	1	7	11	32	22	49	26	18	0	5	0	13	19	7	13	36	8	48	18	90	0	11	15	98	54	2	152	34	57	0	7	8	2	12	39	29	49	17	53	19	13	8	26	8
Otu54	0	0	93	0	282	2	509	1085	282	902	671	1	575	1	729	2	269	0	228	197	473	486	2	334	389	448	412	813	747	127	583	1	400	1	0	435	874	228	219	428	3	1264	0	307	0	137	0	2	313	237	1	906	0	346	1	1591	2	344	79	269	2	382	236	4	126	0	1008	140	334	3	340	1	321	282	1	391	0	1	4	0	1	0	1	5	3	0	1	2	0	2	1	6	2	0	0	2	0	8	0	0	0	2	4	3	1	1	1	1	1	0	1	0	0	1	1	1	1	2	1	36	14	34	40	55	38	41	14	42	80	36	21	33	46	35	35	32	17	91	61	19	19	64	82	32	136	28	33	38	18	20	44	26	10	39	9	11	16	30	30	116	58	36	24	31	25	32	26
Otu90	154	171	0	64	0	282	160	124	5	70	65	130	17	80	92	57	1	185	20	1	35	5	262	3	85	88	79	37	187	20	1	64	15	93	423	53	111	4	37	23	332	23	72	0	113	2	304	415	101	6	179	9	58	14	51	24	239	42	2	8	537	9	6	263	0	133	160	3	42	237	69	158	1	1	246	1	27	13	134	41	65	35	40	9	202	7	17	21	2	56	82	115	12	53	13	7	15	233	2	9	40	64	2	3	33	9	6	34	5	128	11	48	123	30	0	19	91	109	36	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	14	0	0	0	0	0
Otu4	2833	4521	11467	3780	11192	5275	12920	9347	18135	9663	14601	5335	7677	2493	8401	2019	6671	6256	17918	17830	9407	6926	3838	11774	9923	13407	13309	9826	9262	8350	11685	4995	9420	5883	4309	8261	8415	13320	5928	8682	6646	8301	5550	8268	2435	4368	6072	3967	9333	8614	5478	7821	2026	3850	5007	7830	4042	12069	17942	8884	5661	8852	7960	5552	9314	3645	7695	15601	13259	7982	12018	4404	10740	7944	4796	9588	814	475	1299	1361	544	527	859	496	905	2510	197	626	413	998	948	1023	920	1004	398	353	333	764	653	660	742	633	906	350	598	178	484	1864	497	706	1429	621	306	348	73	982	521	1489	904	4061	3865	4918	5493	6762	7690	6708	6866	9933	9601	6136	4767	4243	6474	10886	4087	9984	4512	5489	8685	9572	6654	4477	5590	8727	7221	7717	8764	9665	12252	10457	12054	10272	11861	9402	9057	3241	7261	4063	5559	9906	7518	6981	7266	9758	4484	7036	10397
