CORNER	RM109S73	RM109S169	RM109S81	RM109S177	RM109S1	RM109S9	RM109S105	RM109S113	RM109S121	RM109S33	RM109S129	RM109S41	RM109S137	RM109S49	RM109S145	RM109S57	RM109S65	RM109S161	RM109S170	RM109S82	RM109S178	RM109S98	RM109S106	RM109S26	RM109S122	RM109S34	RM109S130	RM109S42	RM109S138	RM109S146	RM109S154	RM109S162	RM109S91	RM109S11	RM109S27	RM109S35	RM109S59	RM109S67	RM109S4	RM109S12	RM109S36	RM109S44	RM109S60	RM109S77	RM109S85	RM109S5	RM109S29	RM109S61	RM109S69	RM109S78	RM109S6	RM109S14	RM109S22	RM109S54	RM109S62	RM109S79	RM109S186	RM109S87	RM109S15	RM109S39	RM109S8	RM109S16	RM109S32	RM109S48
Otu81	357	0	17	0	1	0	0	0	0	3	0	27	0	0	0	4	34	0	0	1	0	0	0	41	0	0	0	50	0	0	0	0	0	14	17	0	3	8	5	81	0	0	0	91	151	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	150	1605	0	0
Otu1	14210	7297	11181	1331	11820	7488	1264	6231	609	12478	9411	3920	1054	32163	1600	11370	9594	8327	4262	7883	406	1432	11438	14761	813	12662	331	4552	787	1535	21964	3526	5774	4584	13618	10204	9852	13920	9543	24583	1919	629	35480	38755	16910	2172	9370	988	3948	1216	14861	230	3672	3578	55250	16659	995	5074	62211	51328	6308	16678	12159	4628
Otu122	211	59	68	7	51	23	0	27	12	164	82	49	15	310	17	118	89	60	34	122	2	2	2	180	8	103	3	6	6	17	166	18	17	16	120	120	130	134	122	337	37	10	38	497	170	29	73	7	42	5	204	2	34	68	536	112	4	0	193	199	41	7	10	43
Otu44	518	0	65	0	0	469	0	0	1	4	0	4	0	18	3	0	0	0	0	19	0	0	0	73	0	0	49	0	1	25	0	54	16	11	24	0	37	26	1	72	0	2	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	132	88	630	0
Otu13	1200	0	410	0	1353	83	0	0	0	34	0	56	0	22	0	774	104	0	0	68	0	0	0	4420	1	140	0	236	0	0	0	0	390	1333	363	173	636	259	808	122	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	140	0	0	0	0	732	24	917	0
Otu19	4466	0	1849	0	849	82	0	0	0	436	0	213	0	47	0	284	39	0	0	14	0	0	0	284	0	192	25	2535	0	0	0	0	115	1281	2370	17418	252	1382	708	111	0	6	2	2	0	2	0	3	0	1	0	1	0	0	1	158	0	1289	1	0	135	1592	3362	0
Otu78	795	0	5	0	10	810	0	0	74	10	0	4	0	7	0	4	0	0	0	99	0	0	0	16	0	77	0	5	0	0	0	81	0	202	155	0	0	6	20	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	643	0	0	40
Otu22	3719	1375	1526	207	932	611	0	0	0	322	0	509	2	1103	0	646	561	0	0	766	0	0	1	1991	0	9852	0	130	0	2	0	301	336	451	967	1651	460	609	2799	181	1	0	144	52	1	1	35	1	2	0	2	1	1	23	232	1014	0	643	72	0	256	888	978	0
Otu40	660	1	134	0	4045	18	0	0	0	375	0	40	0	0	0	60	253	0	0	91	0	0	0	160	0	1144	0	32	0	0	0	0	1	2688	9975	11	44	143	3666	2	3	1	2	0	0	0	0	0	0	0	0	0	1	0	0	58	0	512	0	0	2	0	896	0
Otu196	122	0	2	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	34	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu14	80	0	6977	1	561	55	0	0	0	710	0	2027	0	372	1	1181	3894	2	0	353	7	1	0	4731	2	74	0	81	0	2	2	0	5063	1085	137	36	1149	746	942	357	1	2	2	0	0	2	0	0	0	0	0	1	0	0	0	88	5	188	0	0	1445	0	1889	0
Otu753	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	14	0	4	0	0	5	0	1	0	0	5	2	1	0	0	0	1	14	5	0	2	0	0	0	0	0	0	0	0	11	0	0	10	0	0	0	0	15	0	0	0
Otu664	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu138	1053	0	0	0	2	102	0	0	10	9	0	0	1	215	0	4	9	0	46	14	0	0	0	59	1	0	0	28	0	9	1	116	863	0	0	16	25	15	0	59	8	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	0	0	24	0	14	0
Otu454	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu59	764	0	79	0	46	45	0	0	0	14	0	11	0	27	0	10	67	0	0	6	0	0	0	1493	0	90	0	19	0	0	0	1	20	47	0	28	79	67	1009	16	1	0	0	0	0	0	0	0	0	0	0	0	0	1	54	421	0	1069	0	0	180	48	0	0
Otu47	1056	155	920	0	170	28	14	0	0	156	0	21	0	51	0	286	495	0	0	42	0	0	1	151	0	6040	0	194	0	0	4	1085	977	235	34	29	277	316	52	155	0	32	18	122	3619	133	1	0	1	1	52	0	21	38	2910	75	0	0	0	0	66	616	54	0
Otu430	169	0	43	0	2	1	0	0	0	28	0	8	0	1	0	9	0	0	0	0	0	0	0	12	0	10	1	10	0	0	0	0	2	13	59	490	15	45	17	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	4	4	10	0
Otu1917	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu80	1140	0	109	0	277	284	0	0	0	10	0	6	0	156	0	345	265	0	0	0	0	0	0	4	0	413	0	0	0	0	0	196	8	0	4	10	40	19	33	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	10	46	0	0
