CORNER	Samp2R1V4GI502comboCT	Samp6R1V4GI502comboCT	Samp10R1V4GI502comboCT	Samp12R1V4GI502comboCT	Samp15R1V4GI502comboCT	Samp16R1V4GI502comboCT	Samp20R1V4GI502comboCT	Samp21R1V4GI502comboCT	Samp25R1V4GI502comboCT	Samp28R1V4GI502comboCT	Samp29R1V4GI502comboCT	Samp34R1V4GI502comboCT	Samp35R1V4GI502comboCT	Samp36R1V4GI502comboCT	Samp40R1V4GI502comboCT	Samp43R1V4GI502comboCT	Samp44R1V4GI502comboCT	Samp45R1V4GI502comboCT	Samp47R1V4GI502comboCT	Samp51R1V4GI502comboCT	Samp52R1V4GI502comboCT	Samp55R1V4GI502comboCT	Samp57R1V4GI502comboCT	Samp16R1V4GI502comboAG	Samp69R1V4GI502comboCT	Samp18R1V4GI502comboAG	Samp85R1V4GI502comboCT	Samp90R1V4GI502comboCT	Samp94R1V4GI502comboCT	Samp2R1V4GI502comboAG	Samp21R1V4GI502comboAG	Samp24R1V4GI502comboAG	Samp26R1V4GI502comboAG	Samp27R1V4GI502comboAG	Samp28R1V4GI502comboAG	Samp33R1V4GI502comboAG	Samp34R1V4GI502comboAG	Samp35R1V4GI502comboAG	Samp38R1V4GI502comboAG	Samp41R1V4GI502comboAG	Samp43R1V4GI502comboAG	Samp45R1V4GI502comboAG	Samp47R1V4GI502comboAG	Samp54R1V4GI502comboAG	Samp57R1V4GI502comboAG	Samp63R1V4GI502comboAG	Samp68R1V4GI502comboAG	Samp75R1V4GI502comboAG	Samp77R1V4GI502comboAG	Samp81R1V4GI502comboAG	Samp83R1V4GI502comboAG	Samp84R1V4GI502comboAG	Samp88R1V4GI502comboAG
Zotu1	30546	35202	5092	49886	24252	4268	44914	54472	26592	89250	46714	16644	44328	43890	34168	8278	64798	25106	43798	28726	8990	18118	23586	51108	20814	17430	40006	19568	24822	57950	42886	26660	24338	39622	51528	36008	27776	45176	38298	68364	40048	47248	52426	706170	43746	9724	1894	206544	21230	53378	43260	46430	21770
Zotu3	158	882	168	1154	1726	2164	4322	7476	24586	4952	3164	894	5528	1246	1268	1452	4782	7726	5568	3068	2438	2958	1728	5246	3870	158	1546	1780	1262	1444	1928	5170	2768	592	1076	1042	2214	12684	1814	2280	1748	1602	2660	140188	8980	556	152	4924	4104	2002	528	23690	16534
Zotu38	228	1674	2	94	10	50	240	466	36	612	668	54	712	104	208	318	532	430	152	72	18	198	260	140	28	204	78	90	156	212	134	304	690	120	110	274	1442	130	30	566	202	644	1202	200	1044	38	24	148	294	308	84	1868	68
Zotu5307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu64	128	8	0	0	46	236	0	244	38	690	262	38	578	36	296	282	638	212	58	112	42	136	234	10	52	0	156	154	122	108	72	182	210	68	20	232	112	172	102	248	364	644	268	536	932	44	14	136	350	232	54	230	28
Zotu1254	5860	1080	4492	3890	74	3890	5640	198	142	288	258	1908	2496	450	4296	648	2174	310	364	332	3582	28	378	1798	46	3646	238	390	22	28	4312	2	2660	6902	460	96	220	72	4	168	542	714	720	38	610	146	272	402	116	222	646	4576	4
Zotu42	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	10	0	0	0	24	16	10	30	14	20	12	58	20	18	26	24	22	24	48	18	18	10	10	28	8	10	11578	8
Zotu5615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6006	4736	768	4466	3904	32	4496	3188	90	98	214	34	1164	1016	76	1866	528	1022	78	180	130	1584	4	180	2010	10	2952	274	114	22	22	1836	2	1638	4520	258	16	126	68	0	20	130	202	372	28	356	56	128	180	60	150	318	1700	4
Zotu54	670	618	704	754	58	1820	190	478	74	540	214	18	388	40	304	138	256	260	116	92	26	60	196	1254	20	456	76	44	198	288	256	366	398	116	144	108	218	66	70	588	60	102	78	330	772	82	60	46	116	132	24	52	38
Zotu4993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu158	84	54	54	0	10	114	28	48	10	162	88	10	100	2	48	50	28	146	42	26	0	18	96	128	12	74	46	4	42	68	0	88	40	40	24	32	52	38	14	90	20	26	60	38	154	12	16	10	36	42	6	14	10
Zotu7	188	294	994	1504	180	1120	24	1360	78	1180	678	834	1270	22	544	712	1340	280	364	138	48	392	296	206	50	6	7284	210	258	284	130	600	638	512	254	7406	280	11962	120	1234	418	498	630	3296	31256	164	122	8782	28128	770	25310	602	92
Zotu9	22628	3852	26008	34164	530	16096	13292	1856	682	2156	1036	8588	4478	894	29678	728	6468	1170	744	1390	16334	124	2606	5266	156	11998	3984	2216	370	188	31426	12	24202	42834	6234	792	2364	1732	184	1804	2350	6106	9236	362	6080	1614	3370	5426	3340	1392	3504	21902	8
Zotu45	690	172	426	634	8	1494	108	160	24	268	252	98	284	38	292	88	604	374	64	58	122	62	160	970	14	770	314	282	430	130	248	84	120	116	40	14	116	34	14	166	30	218	96	76	290	16	28	32	24	84	16	40	4
Zotu169	0	50	0	0	4	2	0	90	4	8	72	34	644	2	114	62	26	98	84	14	0	12	24	56	0	0	28	76	34	38	64	38	10	4	20	0	40	0	20	34	186	46	6	22	544	20	6	36	220	6	54	72	12
Zotu11747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu49	270	20	2	6	1358	310	34	344	38	124	26	1490	0	12	130	0	8	0	4	4	4	0	24	4	28	0	32	68	26	24	6	0	2	118	390	32	0	6	10	80	24	36	8	4	0	2	2	24	138	6	60	54	0
Zotu5	46	1202	4	1142	6532	1356	52	986	38	2234	772	508	2724	70	334	2324	6488	1066	250	1558	402	16	822	944	594	10	2064	924	558	196	412	1252	8	852	8956	3702	904	76	1324	378	254	1712	2794	1572	2346	2940	224	138	272	48	388	372	1104
Zotu2301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu20	326	114	6	1138	1282	54	1752	578	16	112	520	54	256	92	8	44	240	210	3880	92	70	38	70	100	52	1608	110	176	548	654	210	184	178	178	392	308	492	2208	4	2	50	670	66	6232	108	98	2	66	828	24	2052	250	94
Zotu1549	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	22	0	0	0	0	0	0	0	6	24	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Zotu365	0	0	0	0	2	0	0	0	0	212	18	0	74	0	0	0	0	0	10	0	0	0	38	0	4	0	42	0	0	4	0	0	102	24	0	34	0	8	12	0	0	0	0	0	0	4	0	0	2	32	0	0	0
Zotu527	0	18	0	0	0	46	2	0	0	2	0	0	78	8	0	0	48	46	0	8	0	0	38	0	0	0	0	0	44	0	0	28	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	10	0	18	0	0	0
