OTU_ID	R211L5S10	R211L5S11	R211L5S12	R211L5S14	R211L5S15	R211L5S17	R211L5S1	R211L5S21	R211L5S22	R211L5S23	R211L5S26	R211L5S27	R211L5S29	R211L5S30	R211L5S33	R211L5S34	R211L5S35	R211L5S36	R211L5S37	R211L5S38	R211L5S39	R211L5S41	R211L5S42	R211L5S43	R211L5S46	R211L5S50	R211L5S53	R211L5S58	R211L5S5	R211L5S61	R211L5S66	R211L5S68	R211L5S69	R211L5S6	R211L5S70	R211L5S73	R211L5S74	R211L5S75	R211L5S78
Zotu50	41	71	79	186	133	40	558	303	273	120	75	153	265	189	259	150	38	52	61	234	116	77	194	171	175	169	161	75	220	168	42	143	396	223	117	198	72	30	61
Zotu21	709	109	31	202	1578	57	16	1978	1066	58	131	39	72	9	21	148	10	5	25	6	184	3	70	48	6	17	129	357	141	9	10	12	6	565	4	11	8	2	53
Zotu45	76	112	34	18	78	29	4334	29	72	381	25	315	43	55	20	151	34	24	29	1085	50	20	108	174	57	49	209	63	62	55	6	690	164	863	280	31	81	64	192
Zotu3	1281	618	746	1377	2375	504	8924	2533	2523	1043	493	835	25014	1049	5057	2339	154	385	2967	2712	1856	367	1585	946	2532	1873	1778	498	1422	2653	494	811	3207	1377	2106	3004	346	761	694
Zotu205	3	2	21	26	64	0	17	30	14	14	4	1	1	0	50	16	2	3	0	28	34	4	2	17	0	34	15	23	2	11	6	14	9	28	13	2	14	0	7
Zotu154	21	5	10	67	44	0	59	41	38	41	18	36	69	39	54	39	12	6	3	69	58	32	40	16	46	19	36	11	15	27	4	47	10	43	73	33	44	12	44
Zotu13	103	222	238	401	396	53	3198	467	680	402	461	607	248	529	145	430	187	183	36	785	614	624	427	412	342	340	246	374	403	202	301	410	524	1642	1530	180	533	267	223
Zotu41	182	57	104	130	147	102	2370	153	37	55	50	65	310	68	308	154	62	50	206	831	137	29	278	151	217	293	504	84	198	284	66	83	588	129	370	521	21	103	271
Zotu165	713	9	6	29	1	3	57	4	1	0	9	2	2	1	5	2	7	0	8	1	16	0	8	0	0	7	0	0	36	147	4	2	0	8	0	12	22	0	0
Zotu71	271	31	34	253	20	74	622	114	44	66	53	0	151	6	164	73	2	40	44	81	43	5	47	11	31	26	26	0	81	1	14	11	144	19	31	111	2	24	11
Zotu624	5	0	0	0	4	0	0	6	1	0	2	1	19	0	14	0	6	0	0	3	3	0	9	2	0	0	0	5	14	10	0	50	5	0	2	10	2	0	6
Zotu14	490	40	48	217	1541	30	1360	277	30	354	14	25	2253	143	807	717	12	109	203	211	53	10	313	85	829	34	125	26	53	1235	79	17	1599	50	320	274	44	175	346
Zotu103	44	80	55	29	13	12	470	17	13	34	40	116	89	40	95	59	16	12	69	15	60	29	119	55	19	127	6	34	60	21	10	51	38	70	12	173	93	36	8
Zotu242	11	28	10	3	110	3	35	66	28	78	0	16	18	13	43	15	5	1	10	6	86	3	13	24	18	9	14	34	11	11	6	11	8	26	12	20	24	0	4
Zotu1374	3	0	1	0	0	0	0	3	3	0	1	0	3	4	3	2	1	0	0	0	2	0	1	0	2	0	0	0	1	2	0	6	0	0	1	1	0	0	0
Zotu62	62	50	40	53	80	15	107	194	87	22	53	29	291	179	314	468	9	32	14	34	33	9	374	130	33	41	82	45	231	12	53	59	96	80	12	40	9	53	74
Zotu1	1974	8243	10476	4121	15716	1813	91568	6972	12338	5514	7324	9329	1652	22657	6170	13723	6243	1260	1193	19517	23228	9321	15609	8659	12865	6576	8868	7651	16749	4712	5918	9375	4284	7127	11982	5912	9400	5425	22037
