CORNER	D1AgITS1F1F3F5_WILD	H12AgITS1F2F4F6_WILD	E8AgITS1F1F3F5_WILD	C5AgITS1F1F3F5_WILD	E2AgITS1F1F3F5_WILD	D7AgITS1F1F3F5_WILD	B6AgITS1F1F3F5_WILD	C3AgITS1F1F3F5_WILD	C10AgITS1F1F3F5_WILD	A9AgITS1F1F3F5_WILD	F8AgITS1F1F3F5_WILD	B11AgITS1F1F3F5_WILD	G2AgITS1F1F3F5_WILD	D9AgITS1F1F3F5_WILD	D3AgITS1F1F3F5_WILD	E10AgITS1F1F3F5_WILD	A7AgITS1F1F3F5_WILD	A1AgITS1F1F3F5_WILD	B8AgITS1F1F3F5_WILD	B4AgITS1F1F3F5_WILD	H5AgITS1F2F4F6_WILD	E4AgITS1F1F3F5_WILD	H3AgITS1F2F4F6_WILD	A3AgITS1F1F3F5_WILD	C8AgITS1F1F3F5_WILD	F12AgITS1F1F3F5_WILD	D11AgITS1F1F3F5_WILD	C6AgITS1F1F3F5_WILD	B2AgITS1F1F3F5_WILD	D5AgITS1F1F3F5_WILD
Otu7	213	475	313	171	1025	585	334	256	246	73	377	2757	485	71	200	3	180	253	86	497	620	379	899	232	129	88	2437	118	1621	55
Otu170	128	1	0	0	0	1	0	0	2	0	0	844	77	0	0	25	0	0	1865	0	2521	0	0	9	0	0	0	0	0	0
Otu30	0	175	0	2	0	277	0	0	0	0	0	0	169	0	0	49	0	0	0	0	0	353	2974	0	0	0	63	13	0	10
Otu940	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0
Otu1	11	22	7	63	14	26	2	15	43	467	22765	10	12741	7	2	3184	5	204	19	2	750	30989	9	899	7	290	6	7	43	116
Otu555	0	0	0	1	0	0	34	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
Otu2	499	1956	1130	435	1030	1102	2816	890	362	3235	330	3974	838	814	979	4	1353	232	280	1549	2173	149	1194	354	464	368	2473	300	2220	135
Otu24	10	0	4	13	37	1	298	39	4	3	769	1	9	2	1	1	1	170	11	0	18	72	28	88	0	25	21	1	655	1
Otu232	5	5	6	16	96	55	7	14	9	5	2	99	4	137	9	0	7	8	62	19	100	0	7	46	0	0	1	0	255	14
Otu53	29	15	246	36	0	360	0	65	64	230	111	8	5	34	14	38	36	25	11	284	152	40	14	20	0	96	14	9	115	127
Otu16	65	219	395	85	142	159	50	420	3413	96	3	1266	3	103	543	18	224	41	176	15	1299	1	35	0	1	18	148	175	40	153
Otu127	1	0	0	0	1	51	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	262	50	0	0	1054	0	54	72
Otu64	1	28	0	2	0	130	0	2	4	0	0	0	0	0	1	0	1	6	0	0	0	0	13	0	0	0	740	39	0	22
Otu378	0	354	0	0	0	26	31	0	0	0	10	0	0	0	0	0	1	4	0	2	0	0	8	0	0	0	93	137	1	2
Otu76	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	9	0
Otu398	50	9	0	71	444	87	5	119	40	3	0	0	0	14	13	0	6	3	13	3	183	0	4	0	0	0	11	2	17	15
Otu468	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	27	0
Otu164	4	14	0	6	0	100	2066	24	2	370	0	2	0	0	0	0	129	119	0	310	0	0	0	17	0	2	12	3	57	11
Otu111	1	0	1	4	0	1	0	1	18	130	0	0	0	1	1	0	11	18	0	0	10	0	0	0	0	1	0	0	0	1
