#RNA counts for selected genes
samples	environment	genotype	environmentGenotype	PR1	PDF1.2	ACD6	UBQ10	AOC1	AOC2	DTX18	EDS1	NPR1	NPR3	NPR4	PAD3	PDF1.3	PR5	SIB1	UGT71B5
R82L1S10	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	180.5097239	27.12865739	1417.144573	3127.769524	33.51953516	48.4315833	52.69216848	71.8648018	99.55860548	56.95275366	47.366437	176.2491388	1.565146295	254.0048183	69.73450921	1.565146295
R82L1S11	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	26.11928818	135.3383588	654.4660403	2956.156825	47.69342559	144.7770439	7.241917941	42.29989124	107.0223035	36.90635688	54.43534353	3.196767177	22.07413741	144.7770439	32.86120612	0.5
R82L1S12	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	182.359657	8.025227185	1117.996237	3004.319851	93.31113528	411.8790861	10.53363625	65.7186356	122.1578395	55.68499935	48.15977217	24.32988608	0.5	305.271701	102.090567	1.754204531
R82L1S15	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	160.7347216	3.311135467	1094.031697	2519.277379	90.45633496	526.1823324	6.122270935	54.84861904	95.14156073	38.91885139	59.53384481	5.185225779	0.5	382.8144236	74.52656731	0.5
R82L1S17	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	4.433422539	34.91744721	288.623201	2619.176055	118.5026762	518.7284195	0.5	34.91744721	71.3016057	25.08389087	20.16711269	1.483355635	2.466711269	304.3568911	15.25033452	1.483355635
R82L1S19	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	29.45970245	6.642967187	829.8005702	2868.388109	78.60343994	350.6491296	11.03080089	58.4194049	82.11370691	50.52130423	57.54183816	1.377566741	0.5	261.1373221	75.97073972	1.377566741
R82L1S2	GH-Tue	Est1	GH-Tue_Est1	988.0998953	769.979673	658.8999302	3367.226024	219.6300381	749.7833562	17.66686935	60.07913479	88.35397842	40.89263376	38.87300207	61.08895063	175.198141	653.850851	67.1478457	9.588342595
R82L1S20	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	75.01841754	4.639912086	319.2732306	2577.595273	272.6992196	961.9945819	0.5	81.22828567	76.05339556	40.86414283	67.77357139	2.569956043	0.5	85.36819775	65.70361535	0.5
R82L1S21	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	1.363392187	3.090176562	449.4639374	2698.600586	59.21066874	283.6926375	5.680353124	59.21066874	77.34190468	36.76247187	45.39639374	1.363392187	0.5	149.8668484	35.89907968	0.5
R82L1S22	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	67.99309633	7.06182881	379.2112627	2599.921613	15.49846585	18.3106782	9.874041157	38.93356874	64.24347987	29.55952759	30.4969317	4.249616463	1.437404116	53.93203459	14.56106174	1.437404116
R82L1S25	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	45.76171268	11.27659826	328.108587	2811.036826	112.5766219	505.9224583	1.577659826	33.9074546	82.40214676	42.52873321	29.5968153	2.655319652	1.577659826	193.4011088	25.28617599	2.655319652
R82L1S26	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	795.9195516	1834.60625	1286.454949	3510.268766	269.3742146	1102.404147	89.32451734	54.11479875	103.7284931	77.32120418	60.51656577	48.51325261	375.0033704	286.1788531	218.1600785	24.50662631
R82L1S27	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	66.40494665	9.767883122	256.911433	2640.816925	128.1908341	439.1798011	0.5	29.33341416	84.94071289	26.24411978	28.30364937	2.559529583	0.5	178.6493089	12.8571775	0.5
R82L1S28	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	339.2093116	7.923765733	965.5895453	2889.272841	174.030524	858.8729129	1.427970717	69.16983303	102.5767788	41.33071153	56.178243	10.70767788	1.427970717	450.5657976	105.360691	1.427970717
