#RNA counts for gene AT2G14610_PR1				
Sample	Environment	Genotype	Environment:Genotype	Count
R82L1S10	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	180.5097239
R82L1S11	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	26.11928818
R82L1S12	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	182.359657
R82L1S15	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	160.7347216
R82L1S17	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	4.433422539
R82L1S19	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	29.45970245
R82L1S2	GH-Tue	Est1	GH-Tue_Est1	988.0998953
R82L1S20	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	75.01841754
R82L1S21	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	1.363392187
R82L1S22	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	67.99309633
R82L1S25	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	45.76171268
R82L1S26	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	795.9195516
R82L1S27	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	66.40494665
R82L1S28	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	339.2093116
R82L1S30	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	2.438330528
R82L1S31	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	1.347763656
R82L1S32	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	47.19587396
R82L1S33	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	493.285365
R82L1S34	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	26.96414555
R82L1S35	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	392.7420808
R82L1S36	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	111.5201893
R82L1S37	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	84.75292921
R82L1S38	GH-Tue	Est1	GH-Tue_Est1	381.1470639
R82L1S4	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	0.5
R82L1S40	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	489.7642282
R82L1S42	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	41.56292177
R82L1S43	GH-Tue	Est1	GH-Tue_Est1	339.3338659
R82L1S44	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	338.1317028
R82L1S45	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	5.443659263
R82L1S46	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	36.7013013
R82L1S47	GH-Tue	Est1	GH-Tue_Est1	417.051597
R82L1S48	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	2.438346655
R82L1S49	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	5.79145233
R82L1S50	GH-Tue	Est1	GH-Tue_Est1	339.5068074
R82L1S52	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	68.83634515
R82L1S53	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	625.1647229
R82L1S55	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	114.5822666
R82L1S56	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	14.89030342
R82L1S58	GH-Tue	Est1	GH-Tue_Est1	69.1781382
R82L1S59	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	408.2110199
R82L1S60	GH-Tue	Est1	GH-Tue_Est1	714.7820399
R82L1S61	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	963.6570927
R82L1S62	GH-Tue	Est1	GH-Tue_Est1	140.6972643
R82L1S64	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	2.217970252
R82L1S65	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	644.0343438
R82L1S66	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	2.627646998
R82L1S68	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	1049.953987
R82L1S69	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	5.069231814
R82L1S70	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	15.17373765
R82L1S71	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	38.23841079
R82L1S72	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	13.94817826
R82L1S73	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	554.9415211
R82L1S76	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	22.73432736
R82L1S77	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	270.1714227
R82L1S8	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	46.35550411
R82L1S80	GH-Tue	Est1	GH-Tue_Est1	611.6018072
R82L1S81	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	8.457342269
R82L1S82	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	1319.566881
R82L1S83	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	9.818044435
R82L1S84	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	19.2427908
R82L1S85	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	2.890614686
