Sample	flat_code	Environment	Genotype	GenotypeEnvironment	Nonplant_reads	Total_reads	Square_root_nonplant
R70L1S97	25_25	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	83059	1000000	288
R70L1S99	25_28	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	44260	1000000	210
R70L1S100	27_12	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	42715	1000000	207
R70L1S101	25_15	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	67598	1000000	260
R70L1S102	27_14	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	62161	1000000	249
R70L1S103	27_38	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	66847	1000000	259
R70L1S104	25_06	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	87774	1000000	296
R70L1S105	25_21	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	72603	1000000	269
R70L1S106	27_40	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	35234	1000000	188
R70L1S107	27_01	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	75430	1000000	275
R70L1S108	25_30	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	76163	1000000	276
R70L1S109	27_37	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	67297	1000000	259
R70L1S110	25_07	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	80007	1000000	283
R70L1S111	27_02	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	48515	1000000	220
R70L1S112	27_34	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	59066	1000000	243
R70L1S113	27_08	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	33255	1000000	182
R70L1S114	27_05	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	38499	1000000	196
R70L1S115	27_32	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	52631	1000000	229
R70L1S116	27_25	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	48398	1000000	220
R70L1S117	25_36	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	47498	1000000	218
R70L1S118	25_05	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	64378	1000000	254
R70L1S119	25_31	F_Tue	HIF:Est-1	HIF:Est-1_F_Tue	82735	1000000	288
R70L1S120	27_28	F_Tue	HIF:Col-0	HIF:Col-0_F_Tue	72770	1000000	270
