Sample_ID	SA(ng/g)	SAG(ng/g)	ICA(ng/g)	IAA(ng/g)	JA(ng/g)	Genotype	Environment
1_17	28.24	329.13	77.04	45.41	19.51	Est-1:acd6-null	GH_Tue
1_33	33.23	547.39	56.31	42.04	19.01	Est-1:acd6-null	GH_Tue
3_08	35.7	417.38	56.57	50.98	18.95	Est-1:acd6-null	GH_Tue
8_19	37.43	464.37	35.31	33.76	14.2	Est-1:acd6-null	GH_Tue
8_40	38.25	522.27	28.7	32.29	16.1	Est-1:acd6-null	GH_Tue
2_24	39.35	488.74	31.95	31.19	21.73	Est-1:acd6-null	GH_Tue
4_04	29.78	657	29.2	31.37	20.9	Est-1:acd6-null	GH_Tue
8_33	49.73	1288.8	32.56	34.38	19.54	Est-1:acd6-null	GH_Tue
1_20	69.16	5687.33	46.2	32.4	29.61	Est-1	GH_Tue
2_36	106.21	6937.3	59.8	35.61	47.14	Est-1	GH_Tue
4_28	152.32	7381.78	151.91	42.74	25.08	Est-1	GH_Tue
4_07	200.96	6549.23	172.79	44.04	76.46	Est-1	GH_Tue
5_28	249.53	9181.67	317.75	42.71	31.33	Est-1	GH_Tue
6_32	183.76	10383.32	134.65	41.36	29.06	Est-1	GH_Tue
8_03	92.06	5275.16	161.83	44.91	17.1	Est-1	GH_Tue
1_21	27.29	543.5	40.57	34.41	15.83	Est-1	GH_Tue
10_04	91.19	1429.11	96.88	49.49	16.71	HIF:Col-0	GH_Tue
10_08	60.82	7522.99	107.98	37.37	20.19	HIF:Col-0	GH_Tue
10_30	117.87	5859.77	90.12	40.43	31.34	HIF:Col-0	GH_Tue
10_31	311.52	5485.2	358.91	53.97	17.18	HIF:Col-0	GH_Tue
10_06	110.13	5798.67	74.88	37.14	28.89	HIF:Est-1	GH_Tue
10_10	180.46	4789.57	74.53	36.96	283.67	HIF:Est-1	GH_Tue
10_20	46.8	650.63	35.27	35.51	14.67	HIF:Est-1	GH_Tue
10_39	84.2	4620.57	381.2	45.23	30.55	HIF:Est-1	GH_Tue
9_01	140.42	4745.73	114.77	60.65	21	HIF:Col-0	GH_Tue
9_05	72.48	4685.46	56.42	44.64	16.32	HIF:Col-0	GH_Tue
9_14	136.29	5582.43	65.46	40.42	17.22	HIF:Col-0	GH_Tue
9_21	298.91	5035.3	249.95	66.12	15.65	HIF:Col-0	GH_Tue
9_12	87.91	5217.07	113.9	44.28	25.88	HIF:Est-1	GH_Tue
9_15	141.48	6147.24	NA	144.94	57.99	HIF:Est-1	GH_Tue
9_35	181.91	5649.3	100.07	42.84	87.44	HIF:Est-1	GH_Tue
9_40	195.85	4388.87	495.22	86.71	78.09	HIF:Est-1	GH_Tue
12_16	25.95	370.01	33.83	40.36	14.54	Est-1	F_Tue
12_32	58.5	1380.32	51.47	71.77	13.77	Est-1	F_Tue
14_03	48.78	462.21	34.12	40.26	NA	Est-1	F_Tue
14_09	64.45	656.19	41.43	48.56	18.54	Est-1	F_Tue
15_05	64.67	283.94	42.47	55.36	15.36	Est-1	F_Tue
17_20	25.84	331.61	73.24	91.31	NA	Est-1	F_Tue
17_26	25	846.81	78.73	131.24	NA	Est-1	F_Tue
12_18	22.45	244.49	46.25	99.16	23.42	Est-1	F_Tue
