Date	Tray	Experiment	Tray.1	Pot	Exp.Tray.Pot	Group	Genotype	Area	Area_cm2
14-Nov-2017	6.W.C.4.a	16deg	3	1	16deg:3:1	8	Est-1	1970	0.520203125
14-Nov-2017	6.W.C.4.a	16deg	3	5	16deg:3:5	10	Est-1:acd6-null	2534	0.669134375
14-Nov-2017	6.W.C.4.a	16deg	3	6	16deg:3:6	8	Est-1	1735	0.458148438
14-Nov-2017	6.W.C.4.a	16deg	3	12	16deg:3:12	9	Est-1:acd6-null	2293	0.605495313
14-Nov-2017	6.W.C.4.a	16deg	3	25	16deg:3:25	8	Est-1	1598	0.421971875
14-Nov-2017	6.W.C.4.a	16deg	3	28	16deg:3:28	8	Est-1	1626	0.429365625
14-Nov-2017	6.W.C.4.a	16deg	3	29	16deg:3:29	10	Est-1:acd6-null	2036	0.53763125
15-Nov-2017	6.W.C.4.a	16deg	3	1	16deg:3:1	8	Est-1	2564	0.67705625
15-Nov-2017	6.W.C.4.a	16deg	3	5	16deg:3:5	10	Est-1:acd6-null	3355	0.885929688
15-Nov-2017	6.W.C.4.a	16deg	3	6	16deg:3:6	8	Est-1	1825	0.481914063
15-Nov-2017	6.W.C.4.a	16deg	3	12	16deg:3:12	9	Est-1:acd6-null	2369	0.625564063
15-Nov-2017	6.W.C.4.a	16deg	3	25	16deg:3:25	8	Est-1	1805	0.476632813
15-Nov-2017	6.W.C.4.a	16deg	3	28	16deg:3:28	8	Est-1	1978	0.522315625
15-Nov-2017	6.W.C.4.a	16deg	3	29	16deg:3:29	10	Est-1:acd6-null	2457	0.648801563
16-Nov-2017	6.W.C.4.a	16deg	3	1	16deg:3:1	8	Est-1	2766	0.730396875
16-Nov-2017	6.W.C.4.a	16deg	3	5	16deg:3:5	10	Est-1:acd6-null	3642	0.961715625
16-Nov-2017	6.W.C.4.a	16deg	3	6	16deg:3:6	8	Est-1	2554	0.674415625
16-Nov-2017	6.W.C.4.a	16deg	3	12	16deg:3:12	9	Est-1:acd6-null	2783	0.734885938
16-Nov-2017	6.W.C.4.a	16deg	3	25	16deg:3:25	8	Est-1	2243	0.592292188
16-Nov-2017	6.W.C.4.a	16deg	3	28	16deg:3:28	8	Est-1	2196	0.57988125
16-Nov-2017	6.W.C.4.a	16deg	3	29	16deg:3:29	10	Est-1:acd6-null	2880	0.7605
17-Nov-2017	6.W.C.4.a	16deg	3	1	16deg:3:1	8	Est-1	3159	0.834173438
17-Nov-2017	6.W.C.4.a	16deg	3	5	16deg:3:5	10	Est-1:acd6-null	4562	1.204653125
17-Nov-2017	6.W.C.4.a	16deg	3	6	16deg:3:6	8	Est-1	3539	0.934517188
17-Nov-2017	6.W.C.4.a	16deg	3	12	16deg:3:12	9	Est-1:acd6-null	3549	0.937157813
17-Nov-2017	6.W.C.4.a	16deg	3	25	16deg:3:25	8	Est-1	2687	0.709535938
17-Nov-2017	6.W.C.4.a	16deg	3	28	16deg:3:28	8	Est-1	2213	0.584370313
