Sample	OTU	Genotype	GenoOTU	abundance	sqrt_abundance
R209L1S10	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0020942408	0.04576287578
R209L1S10	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0473108044	0.2175104696
R209L1S10	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0001903855	0.01379802522
R209L1S10	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.1727748691	0.4156619649
R209L1S10	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0079961923	0.08942143088
R209L1S10	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	0.2423607806	0.4923015139
R209L1S12	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.2051815703	0.4529697234
R209L1S12	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0539687096	0.2323116648
R209L1S12	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0409789005	0.2024324591
R209L1S12	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.072556337	0.2693628352
R209L1S12	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0414095019	0.2034932478
R209L1S12	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	1.790081814	1.337939391
R209L1S15	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0052356021	0.07235746057
R209L1S15	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.036246476	0.1903850729
R209L1S15	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	1.315344342	1.146884624
R209L1S15	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.0571888844	0.2391419754
R209L1S15	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.3475634313	0.5895451054
R209L1S15	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	4.883608538	2.209888807
R209L1S16	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0007441307	0.02727875914
R209L1S16	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0038322729	0.06190535437
R209L1S16	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0175614838	0.1325197487
R209L1S16	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.0346020761	0.1860163329
R209L1S16	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0975927373	0.3123983632
R209L1S16	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	0.9507757562	0.9750773078
R209L1S16	Zotu6	HIF:Col-0	HIF:Col-0_Zotu6	0.0304835319	0.1745953376
R209L1S16	Zotu7	HIF:Col-0	HIF:Col-0_Zotu7	0.0196215837	0.1400770634
R209L1S16	Zotu5	HIF:Col-0	HIF:Col-0_Zotu5	0.0237561317	0.1541302427
R209L1S16	Zotu4	HIF:Col-0	HIF:Col-0_Zotu4	0.0114225648	0.1068763996
R209L1S16	Zotu3	HIF:Col-0	HIF:Col-0_Zotu3	0.0379117029	0.1947092779
R209L1S16	Zotu1	HIF:Col-0	HIF:Col-0_Zotu1	0.0747722495	0.273445149
R209L1S18	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0407734342	0.2019243279
R209L1S18	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0003152585	0.01775552027
R209L1S18	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0005254309	0.02292227956
R209L1S18	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.0160781841	0.1267997796
R209L1S18	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0083018075	0.0911142552
R209L1S18	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	0.9158259773	0.9569879713
R209L1S20	Zotu6	HIF:Col-0	HIF:Col-0_Zotu6	0.0064861816	0.08053683381
R209L1S20	Zotu7	HIF:Col-0	HIF:Col-0_Zotu7	0.0033840948	0.05817297311
R209L1S20	Zotu5	HIF:Col-0	HIF:Col-0_Zotu5	0.0073322053	0.08562829731
R209L1S20	Zotu4	HIF:Col-0	HIF:Col-0_Zotu4	0.0025380711	0.05037927252
R209L1S20	Zotu3	HIF:Col-0	HIF:Col-0_Zotu3	0.6094190637	0.7806529726
R209L1S20	Zotu1	HIF:Col-0	HIF:Col-0_Zotu1	6.333051325	2.516555449
R209L1S21	Zotu6	HIF:Col-0	HIF:Col-0_Zotu6	0.007472974	0.08644636487
R209L1S21	Zotu7	HIF:Col-0	HIF:Col-0_Zotu7	0.0047159544	0.06867280685
R209L1S21	Zotu5	HIF:Col-0	HIF:Col-0_Zotu5	0.0149459479	0.1222536212
R209L1S21	Zotu4	HIF:Col-0	HIF:Col-0_Zotu4	0.1880577523	0.4336562605
R209L1S21	Zotu3	HIF:Col-0	HIF:Col-0_Zotu3	0.069941232	0.2644640467
R209L1S21	Zotu1	HIF:Col-0	HIF:Col-0_Zotu1	1.555757092	1.247299921
R209L1S21	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0042669672	0.06532202691
R209L1S21	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0273729973	0.1654478688
R209L1S21	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0198454231	0.1408737843
R209L1S21	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.0373158361	0.1931730729
R209L1S21	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.1504709766	0.3879058863
R209L1S21	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	1.096369052	1.047076431
R209L1S24	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0067432567	0.08211733495
R209L1S24	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0093656344	0.09677620782
R209L1S24	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.019542957	0.1397961266
R209L1S24	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.0881306194	0.2968680168
R209L1S24	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0807005495	0.2840784214
R209L1S24	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	0.4161463536	0.6450940657
R209L1S25	Zotu6	HIF:Col-0	HIF:Col-0_Zotu6	0.132281944	0.3637058482
R209L1S25	Zotu7	HIF:Col-0	HIF:Col-0_Zotu7	0.0125523013	0.1120370532
R209L1S25	Zotu5	HIF:Col-0	HIF:Col-0_Zotu5	0.0061152237	0.07819989578
R209L1S25	Zotu4	HIF:Col-0	HIF:Col-0_Zotu4	0.0193112327	0.1389648614
R209L1S25	Zotu3	HIF:Col-0	HIF:Col-0_Zotu3	3.956549726	1.989107771
R209L1S25	Zotu1	HIF:Col-0	HIF:Col-0_Zotu1	4.279369166	2.068663618
R209L1S26	Zotu6	HIF:Col-0	HIF:Col-0_Zotu6	0.0258564964	0.1607995535
R209L1S26	Zotu7	HIF:Col-0	HIF:Col-0_Zotu7	0.0082482224	0.09081972473
R209L1S26	Zotu5	HIF:Col-0	HIF:Col-0_Zotu5	0.000103426	0.01016985742
R209L1S26	Zotu4	HIF:Col-0	HIF:Col-0_Zotu4	0.0636845507	0.2523579812
R209L1S26	Zotu3	HIF:Col-0	HIF:Col-0_Zotu3	0.0357853911	0.1891702701
R209L1S26	Zotu1	HIF:Col-0	HIF:Col-0_Zotu1	0.3146477052	0.5609346711
R209L1S27	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.001497006	0.03869116178
R209L1S27	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0109495295	0.1046399995
R209L1S27	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0182207015	0.1349840787
R209L1S27	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.0159538067	0.1263083794
R209L1S27	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0126603935	0.112518414
R209L1S27	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	0.8473481608	0.9205151605
R209L1S28	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0028931348	0.05378786852
R209L1S28	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0076547526	0.08749144301
R209L1S28	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.2699053704	0.5195241769
R209L1S28	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.1476704237	0.3842790961
R209L1S28	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0324272196	0.1800755941
R209L1S28	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	1.552890121	1.24615012
R209L1S28	Zotu6	HIF:Col-0	HIF:Col-0_Zotu6	0.0029614648	0.05441934215
R209L1S28	Zotu7	HIF:Col-0	HIF:Col-0_Zotu7	0.0106540503	0.1032184591
R209L1S28	Zotu5	HIF:Col-0	HIF:Col-0_Zotu5	0.0201704648	0.1420227616
R209L1S28	Zotu4	HIF:Col-0	HIF:Col-0_Zotu4	0.0071689118	0.0846694266
R209L1S28	Zotu3	HIF:Col-0	HIF:Col-0_Zotu3	0.044710896	0.2114495117
R209L1S28	Zotu1	HIF:Col-0	HIF:Col-0_Zotu1	0.805825418	0.8976777919
R209L1S29	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0031221304	0.05587602706
R209L1S29	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0155647383	0.1247587203
R209L1S29	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0177226814	0.1331265616
R209L1S29	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.0191000918	0.1382030817
R209L1S29	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0726354454	0.2695096388
R209L1S29	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	1.072405877	1.035570315
R209L1S2	Zotu6	HIF:Col-0	HIF:Col-0_Zotu6	0.000662164	0.02573254748
R209L1S2	Zotu7	HIF:Col-0	HIF:Col-0_Zotu7	0.0188054562	0.1371329873
R209L1S2	Zotu5	HIF:Col-0	HIF:Col-0_Zotu5	0.0129784135	0.1139228401
R209L1S2	Zotu4	HIF:Col-0	HIF:Col-0_Zotu4	0.3884253741	0.623237815
R209L1S2	Zotu3	HIF:Col-0	HIF:Col-0_Zotu3	0.0956164746	0.3092191369
R209L1S2	Zotu1	HIF:Col-0	HIF:Col-0_Zotu1	3.837240101	1.958887465
R209L1S2	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.1281265326	0.3579476674
R209L1S2	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0057626287	0.07591197995
R209L1S2	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0014100049	0.03755003196
R209L1S2	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.2156081412	0.4643362372
R209L1S2	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0048430603	0.06959209941
R209L1S2	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	0.9363045611	0.9676283176
R209L1S33	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.0030648239	0.05536085169
R209L1S33	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.2141328861	0.4627449471
R209L1S33	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.1070375296	0.3271659053
R209L1S33	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.2026253397	0.4501392448
R209L1S33	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0301277974	0.173573608
R209L1S33	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	1.041114902	1.020350382
R209L1S34	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.3736521935	0.6112709657
R209L1S34	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0045060993	0.06712748543
R209L1S34	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0145482635	0.1206161826
R209L1S34	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.0725160127	0.2692879736
R209L1S34	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0356303711	0.1887600887
R209L1S34	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	0.4470050533	0.6685843651
R209L1S34	Zotu6	HIF:Est-1	HIF:Est-1_Zotu6	0.2229344729	0.4721593724
R209L1S34	Zotu7	HIF:Est-1	HIF:Est-1_Zotu7	0.0594017094	0.243724659
R209L1S34	Zotu5	HIF:Est-1	HIF:Est-1_Zotu5	0.0361823362	0.1902165508
R209L1S34	Zotu4	HIF:Est-1	HIF:Est-1_Zotu4	0.4548433048	0.6744207179
R209L1S34	Zotu3	HIF:Est-1	HIF:Est-1_Zotu3	0.0636752137	0.2523394811
R209L1S34	Zotu1	HIF:Est-1	HIF:Est-1_Zotu1	1.185470086	1.088792949
