#plotted using ACD6_amplicon_DSL.r (/Users/dklu0001/Documents/SLU/Projects/ACD6/ACD6_data_and_code/)
Sample	OTU	Genotype	Treatment	GenoTreatmentOTU	GenoTreatment	abundance	abundance_square_root
S105	Zotu11	Est-1	DC	Est-1_DC_Zotu11	Est-1_DC	0.00348879912	0.05906605726
S105	Zotu7	Est-1	DC	Est-1_DC_Zotu7	Est-1_DC	0.00465938303	0.06825967353
S105	Zotu8	Est-1	DC	Est-1_DC_Zotu8	Est-1_DC	0.00319041498	0.05648375855
S105	Zotu10	Est-1	DC	Est-1_DC_Zotu10	Est-1_DC	0	0
S105	Zotu6	Est-1	DC	Est-1_DC_Zotu6	Est-1_DC	0.03814726405	0.195313246
S105	Zotu4	Est-1	DC	Est-1_DC_Zotu4	Est-1_DC	0.01579140654	0.1256638633
S105	Zotu5	Est-1	DC	Est-1_DC_Zotu5	Est-1_DC	0.0008033419	0.02834328668
S105	Zotu1	Est-1	DC	Est-1_DC_Zotu1	Est-1_DC	10.16865589	3.188832999
S2	Zotu11	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu11	Est-1:acd6-null_DC	0.00267481849	0.05171864741
S2	Zotu7	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu7	Est-1:acd6-null_DC	0.00955292319	0.09773905663
S2	Zotu8	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu8	Est-1:acd6-null_DC	0.00534963699	0.07314121266
S2	Zotu10	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu10	Est-1:acd6-null_DC	0.00305693542	0.05528955977
S2	Zotu6	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu6	Est-1:acd6-null_DC	0.07833397019	0.2798820648
S2	Zotu4	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu4	Est-1:acd6-null_DC	1.196408101	1.093804416
S2	Zotu5	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu5	Est-1:acd6-null_DC	0.09820405044	0.313375255
S2	Zotu1	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu1	Est-1:acd6-null_DC	261.1486435	16.16009417
S24	Zotu11	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu11	Est-1:acd6-null_DC	0.00797342193	0.08929401956
S24	Zotu7	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu7	Est-1:acd6-null_DC	0.03455149502	0.1858803245
S24	Zotu8	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu8	Est-1:acd6-null_DC	0.01262458472	0.1123591773
S24	Zotu10	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu10	Est-1:acd6-null_DC	0	0
S24	Zotu6	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu6	Est-1:acd6-null_DC	0.2126245847	0.4611123342
S24	Zotu4	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu4	Est-1:acd6-null_DC	0.6478405316	0.8048854152
S24	Zotu5	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu5	Est-1:acd6-null_DC	0.00332225914	0.0576390418
S24	Zotu1	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu1	Est-1:acd6-null_DC	416.2398671	20.40195743
