Sample	Environment	Genotype	Environment:Genotype
R82L1S10	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1
R82L1S11	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0
R82L1S12	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0
R82L1S15	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0
R82L1S17	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null
R82L1S19	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0
R82L1S2	GH-Tue	Est1	GH-Tue_Est1
R82L1S20	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1
R82L1S21	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null
R82L1S22	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1
R82L1S25	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null
R82L1S26	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1
R82L1S27	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null
R82L1S28	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0
R82L1S30	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null
R82L1S31	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null
R82L1S32	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0
R82L1S33	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1
R82L1S34	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1
R82L1S35	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0
R82L1S36	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0
R82L1S37	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1
R82L1S38	GH-Tue	Est1	GH-Tue_Est1
R82L1S4	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1
R82L1S40	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1
R82L1S42	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0
R82L1S43	GH-Tue	Est1	GH-Tue_Est1
R82L1S44	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0
R82L1S45	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1
R82L1S46	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null
