#metadata_combined_16S_2017_2018_harvest_years								
Sample	Primer	Frameshift	Experiment	Plate pos	Code	Site	Genotype	Harvest_Year
RM133L1S1	515	F34R34	HIF	1	4_02	F_Tue	HIF:Est-1	2018
RM133L1S100	515	F56R12	HIF	4	5_09	GH_Tue	HIF:Col-0	2018
RM133L1S101	515	F56R12	HIF	5	1_22	GH_Tue	HIF:Col-0	2018
RM133L1S102	515	F56R12	HIF	6	7_23	GH_Tue	HIF:Est-1	2018
RM133L1S103	515	F56R12	HIF	7	4_14	GH_Tue	HIF:Col-0	2018
RM133L1S104	515	F56R12	HIF	8	5_03	GH_Tue	HIF:Col-0	2018
RM133L1S105	515	F56R12	HIF	9	8_03	GH_Tue	HIF:Col-0	2018
RM133L1S106	515	F56R12	HIF	10	8_12	GH_Tue	HIF:Est-1	2018
RM133L1S107	515	F56R12	HIF	11	3_11	GH_Tue	HIF:Est-1	2018
RM133L1S108	515	F56R12	HIF	12	3_20	GH_Tue	HIF:Col-0	2018
RM133L1S109	515	F56R12	HIF	13	4_21	GH_Tue	HIF:Est-1	2018
RM133L1S110	515	F56R12	HIF	14	5_37	GH_Tue	HIF:Col-0	2018
RM133L1S111	515	F56R12	HIF	15	7_01	GH_Tue	HIF:Col-0	2018
RM133L1S112	515	F56R12	HIF	16	7_04	GH_Tue	HIF:Col-0	2018
RM133L1S113	515	F56R12	HIF	17	4_02	GH_Tue	HIF:Col-0	2018
RM133L1S114	515	F56R12	HIF	18	4_24	GH_Tue	HIF:Est-1	2018
RM133L1S115	515	F56R12	HIF	19	10_28	GH_Tue	HIF:Est-1	2018
RM133L1S116	515	F56R12	HIF	20	1_03	GH_Tue	HIF:Est-1	2018
RM133L1S117	515	F56R12	HIF	21	4_26	GH_Tue	HIF:Est-1	2018
RM133L1S118	515	F56R12	HIF	22	1_02	GH_Tue	HIF:Est-1	2018
RM133L1S119	515	F56R12	HIF	23	8_08	GH_Tue	HIF:Est-1	2018
RM133L1S12	515	F34R34	HIF	12	13_28	F_Tue	HIF:Col-0	2018
RM133L1S120	515	F56R12	HIF	24	6_36	GH_Tue	HIF:Col-0	2018
RM133L1S121	515	F56R12	CRISPR	25	7_02	GH_Tue	Est-1	2018
