Sample	Primer	Frameshift	Experiment	Plate_Position	Barcode_position	Pot_code	Environment	Genotype
RM109S1	ITS1	F1F3F5	HIF	1	1	25_25	F_Tue	HIF:Est-1
RM109S105	ITS1	F2F4F6	CRISPR	9	2	4_28	GH_Tue	Est-1
RM109S106	ITS1	F2F4F6	CRISPR	10	14	5_20	GH_Tue	Est-1:acd6-null
RM109S11	ITS1	F1F3F5	HIF	11	26	27_32	F_Tue	HIF:Col-0
RM109S113	ITS1	F2F4F6	CRISPR	17	3	6_14	GH_Tue	Est-1
RM109S12	ITS1	F1F3F5	HIF	12	38	25_18	F_Tue	HIF:Col-0
RM109S121	ITS1	F2F4F6	CRISPR	25	4	4_04	GH_Tue	Est-1:acd6-null
RM109S122	ITS1	F2F4F6	CRISPR	26	16	6_32	GH_Tue	Est-1
RM109S129	ITS1	F2F4F6	CRISPR	33	5	5_28	GH_Tue	Est-1
RM109S130	ITS1	F2F4F6	CRISPR	34	17	1_17	GH_Tue	Est-1:acd6-null
RM109S137	ITS1	F2F4F6	CRISPR	41	6	6_22	GH_Tue	Est-1
RM109S138	ITS1	F2F4F6	CRISPR	42	18	1_18	GH_Tue	Est-1:acd6-null
RM109S14	ITS1	F1F3F5	HIF	14	62	9_01	GH_Tue	HIF:Col-0
RM109S145	ITS1	F2F4F6	CRISPR	49	7	8_19	GH_Tue	Est-1:acd6-null
RM109S146	ITS1	F2F4F6	CRISPR	50	19	8_33	GH_Tue	Est-1:acd6-null
RM109S15	ITS1	F1F3F5	HIF	15	74	9_33	GH_Tue	HIF:Est-1
RM109S154	ITS1	F2F4F6	CRISPR	58	20	3_15	GH_Tue	Est-1
RM109S16	ITS1	F1F3F5	HIF	16	86	27_34	F_Tue	HIF:Est-1
RM109S161	ITS1	F2F4F6	CRISPR	65	9	8_03	GH_Tue	Est-1
RM109S162	ITS1	F2F4F6	CRISPR	66	21	2_24	GH_Tue	Est-1:acd6-null
RM109S169	ITS1	F2F4F6	CRISPR	73	10	4_07	GH_Tue	Est-1
RM109S170	ITS1	F2F4F6	CRISPR	74	22	1_21	GH_Tue	Est-1
RM109S177	ITS1	F2F4F6	CRISPR	81	11	4_08	GH_Tue	Est-1
RM109S178	ITS1	F2F4F6	CRISPR	82	23	8_40	GH_Tue	Est-1:acd6-null
RM109S186	ITS1	F2F4F6	CRISPR	90	24	4_05	GH_Tue	Est-1:acd6-null
RM109S22	ITS1	F1F3F5	HIF	22	63	9_18	GH_Tue	HIF:Col-0
RM109S26	ITS1	F1F3F5	HIF	26	16	25_30	F_Tue	HIF:Col-0
RM109S27	ITS1	F1F3F5	HIF	27	28	27_25	F_Tue	HIF:Col-0
RM109S29	ITS1	F1F3F5	HIF	29	52	10_27	GH_Tue	HIF:Col-0
RM109S32	ITS1	F1F3F5	HIF	32	88	25_17	F_Tue	HIF:Col-0
RM109S33	ITS1	F1F3F5	HIF	33	5	25_28	F_Tue	HIF:Est-1
RM109S34	ITS1	F1F3F5	HIF	34	17	27_37	F_Tue	HIF:Est-1
RM109S35	ITS1	F1F3F5	HIF	35	29	25_36	F_Tue	HIF:Col-0
RM109S36	ITS1	F1F3F5	HIF	36	41	10_04	GH_Tue	HIF:Col-0
RM109S39	ITS1	F1F3F5	HIF	39	77	10_39	GH_Tue	HIF:Est-1
RM109S4	ITS1	F1F3F5	HIF	4	37	25_27	F_Tue	HIF:Est-1
RM109S41	ITS1	F1F3F5	HIF	41	6	27_12	F_Tue	HIF:Est-1
RM109S42	ITS1	F1F3F5	HIF	42	18	25_07	F_Tue	HIF:Est-1
RM109S44	ITS1	F1F3F5	HIF	44	42	10_31	GH_Tue	HIF:Col-0
RM109S48	ITS1	F1F3F5	HIF	48	90	10_13	GH_Tue	HIF:Col-0
RM109S49	ITS1	F1F3F5	HIF	49	7	25_15	F_Tue	HIF:Est-1
RM109S5	ITS1	F1F3F5	HIF	5	49	10_06	GH_Tue	HIF:Est-1
RM109S54	ITS1	F1F3F5	HIF	54	67	10_18	GH_Tue	HIF:Est-1
RM109S57	ITS1	F1F3F5	HIF	57	8	27_14	F_Tue	HIF:Est-1
RM109S59	ITS1	F1F3F5	HIF	59	32	25_05	F_Tue	HIF:Col-0
RM109S6	ITS1	F1F3F5	HIF	6	61	9_31	GH_Tue	HIF:Est-1
RM109S60	ITS1	F1F3F5	HIF	60	44	10_22	GH_Tue	HIF:Est-1
RM109S61	ITS1	F1F3F5	HIF	61	56	9_34	GH_Tue	HIF:Col-0
RM109S62	ITS1	F1F3F5	HIF	62	68	10_32	GH_Tue	HIF:Est-1
RM109S65	ITS1	F1F3F5	HIF	65	9	27_38	F_Tue	HIF:Est-1
RM109S67	ITS1	F1F3F5	HIF	67	33	25_31	F_Tue	HIF:Est-1
RM109S69	ITS1	F1F3F5	HIF	69	57	9_40	GH_Tue	HIF:Est-1
RM109S73	ITS1	F1F3F5	HIF	73	10	25_06	F_Tue	HIF:Col-0
RM109S77	ITS1	F1F3F5	HIF	77	58	9_12	GH_Tue	HIF:Est-1
RM109S78	ITS1	F1F3F5	HIF	78	70	9_35	GH_Tue	HIF:Est-1
RM109S79	ITS1	F1F3F5	HIF	79	82	27_40	F_Tue	HIF:Est-1
RM109S8	ITS1	F1F3F5	HIF	8	85	27_02	F_Tue	HIF:Col-0
RM109S81	ITS1	F1F3F5	HIF	81	11	25_21	F_Tue	HIF:Col-0
RM109S82	ITS1	F1F3F5	HIF	82	23	27_05	F_Tue	HIF:Est-1
RM109S85	ITS1	F1F3F5	HIF	85	59	9_15	GH_Tue	HIF:Est-1
RM109S87	ITS1	F1F3F5	HIF	87	83	27_01	F_Tue	HIF:Col-0
RM109S9	ITS1	F1F3F5	HIF	9	2	25_10	F_Tue	HIF:Est-1
RM109S91	ITS1	F1F3F5	HIF	91	36	27_28	F_Tue	HIF:Col-0
RM109S98	ITS1	F2F4F6	CRISPR	2	13	1_33	GH_Tue	Est-1:acd6-null
