sample_name	genetic_background	plate_well_number	acd6_genotype
R209L1S102	HIF2	2	HIF:Est-1
R209L1S106	HIF2	6	HIF:Est-1
R209L1S110	HIF2	10	HIF:Est-1
R209L1S112	HIF2	12	HIF:Est-1
R209L1S115	HIF2	15	HIF:Est-1
R209L1S116	HIF2	16	HIF:Col-0
R209L1S120	HIF2	20	HIF:Col-0
R209L1S121	HIF2	21	HIF:Est-1
R209L1S125	HIF2	25	HIF:Col-0
R209L1S128	HIF2	28	HIF:Col-0
R209L1S129	HIF2	29	HIF:Est-1
R209L1S134	HIF2	34	HIF:Est-1
R209L1S135	HIF2	35	HIF:Col-0
R209L1S136	HIF2	36	HIF:Col-0
R209L1S140	HIF2	40	HIF:Est-1
R209L1S143	HIF2	43	HIF:Est-1
R209L1S144	HIF2	44	HIF:Col-0
R209L1S145	HIF2	45	HIF:Est-1
R209L1S147	HIF2	47	HIF:Col-0
R209L1S151	HIF2	51	HIF:Col-0
R209L1S152	HIF2	52	HIF:Est-1
R209L1S155	HIF2	55	HIF:Col-0
R209L1S157	HIF2	57	HIF:Col-0
R209L1S16	HIF1	16	HIF:Est-1
R209L1S169	HIF2	69	HIF:Col-0
R209L1S18	HIF1	18	HIF:Est-1
R209L1S185	HIF2	85	HIF:Est-1
R209L1S190	HIF2	90	HIF:Col-0
R209L1S194	HIF2	94	HIF:Est-1
R209L1S2	HIF1	2	HIF:Col-0
R209L1S21	HIF1	21	HIF:Col-0
R209L1S24	HIF1	24	HIF:Est-1
R209L1S26	HIF1	26	HIF:Col-0
R209L1S27	HIF1	27	HIF:Est-1
R209L1S28	HIF1	28	HIF:Est-1
R209L1S33	HIF1	33	HIF:Est-1
R209L1S34	HIF1	34	HIF:Est-1
R209L1S35	HIF1	35	HIF:Col-0
R209L1S38	HIF1	38	HIF:Est-1
R209L1S41	HIF1	41	HIF:Est-1
R209L1S43	HIF1	43	HIF:Est-1
R209L1S45	HIF1	45	HIF:Est-1
R209L1S47	HIF1	47	HIF:Col-0
R209L1S54	HIF1	54	HIF:Est-1
R209L1S57	HIF1	57	HIF:Col-0
R209L1S63	HIF1	63	HIF:Col-0
R209L1S68	HIF1	68	HIF:Col-0
R209L1S75	HIF1	75	HIF:Est-1
R209L1S77	HIF1	77	HIF:Est-1
R209L1S81	HIF1	81	HIF:Est-1
R209L1S83	HIF1	83	HIF:Est-1
R209L1S84	HIF1	84	HIF:Est-1
R209L1S88	HIF1	88	HIF:Col-0
