Sample	Primer	Frameshift	Harvest_date	Environment
A1AgITS1F1F3F5_WILD	ITS1	F1F3F5	06_04_2016	Pfrondorf
A3AgITS1F1F3F5_WILD	ITS1	F1F3F5	06_04_2016	Pfrondorf
A7AgITS1F1F3F5_WILD	ITS1	F1F3F5	06_04_2016	Pfrondorf
A9AgITS1F1F3F5_WILD	ITS1	F1F3F5	06_04_2016	Pfrondorf
B11AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
B2AgITS1F1F3F5_WILD	ITS1	F1F3F5	06_04_2016	Pfrondorf
B4AgITS1F1F3F5_WILD	ITS1	F1F3F5	06_04_2016	Pfrondorf
B6AgITS1F1F3F5_WILD	ITS1	F1F3F5	06_04_2016	Pfrondorf
B8AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
C10AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
C3AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
C5AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
C6AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
C8AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
D11AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
D1AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
D3AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
D5AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
D7AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
D9AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
E10AgITS1F1F3F5_WILD	ITS1	F1F3F5	24_03_2016	Eyach
E2AgITS1F1F3F5_WILD	ITS1	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
E4AgITS1F1F3F5_WILD	ITS1	F1F3F5	24_03_2016	Eyach
E8AgITS1F1F3F5_WILD	ITS1	F1F3F5	24_03_2016	Eyach
F12AgITS1F1F3F5_WILD	ITS1	F1F3F5	24_03_2016	Eyach
F8AgITS1F1F3F5_WILD	ITS1	F1F3F5	24_03_2016	Eyach
G2AgITS1F1F3F5_WILD	ITS1	F1F3F5	24_03_2016	Eyach
H12AgITS1F2F4F6_WILD	ITS1	F2F4F6	31_03_2016	Dettenhausen/ Pfrondorf2
H3AgITS1F2F4F6_WILD	ITS1	F2F4F6	31_03_2016	Dettenhausen/ Pfrondorf2
H5AgITS1F2F4F6_WILD	ITS1	F2F4F6	31_03_2016	Dettenhausen/ Pfrondorf2
