Sample	Genotype	Cluster	Environment
R211L1S6	Est-1	1	F_Z
R211L1S12	Est-1	1	F_Z
R211L1S30	Est-1	1	F_Z
R211L1S58	Est-1	4	F_Z
R211L1S63	Est-1	4	F_Z
R211L1S69	Est-1	6	F_Z
R211L1S48	Est-1	7	F_Z
R211L1S75	Est-1	7	F_Z
R211L1S41	Est-1	9	F_Z
R211L1S24	Est-1	10	F_Z
R211L1S40	Est-1	10	F_Z
R211L1S50	Est-1	10	F_Z
R211L1S15	Est-1	13	F_Z
R211L1S74	Est-1	25	F_Z
R211L1S10	Est-1	30	F_Z
R211L1S39	Est-1	30	F_Z
R211L1S46	Est-1	33	F_Z
R211L1S26	Est-1	34	F_Z
R211L1S32	Est-1	35	F_Z
R211L1S29	Est-1	36	F_Z
R211L1S79	Est-1	36	F_Z
R211L1S68	Est-1	37	F_Z
R211L1S43	Est-1	39	F_Z
R211L1S23	Est-1:acd6-null	2	F_Z
R211L1S42	Est-1:acd6-null	2	F_Z
R211L1S72	Est-1:acd6-null	2	F_Z
R211L1S27	Est-1:acd6-null	4	F_Z
R211L1S18	Est-1:acd6-null	5	F_Z
R211L1S35	Est-1:acd6-null	5	F_Z
R211L1S61	Est-1:acd6-null	5	F_Z
R211L1S66	Est-1:acd6-null	7	F_Z
R211L1S5	Est-1:acd6-null	8	F_Z
R211L1S17	Est-1:acd6-null	8	F_Z
R211L1S64	Est-1:acd6-null	8	F_Z
R211L1S78	Est-1:acd6-null	8	F_Z
R211L1S8	Est-1:acd6-null	11	F_Z
R211L1S11	Est-1:acd6-null	11	F_Z
R211L1S21	Est-1:acd6-null	14	F_Z
R211L1S73	Est-1:acd6-null	23	F_Z
R211L1S34	Est-1:acd6-null	26	F_Z
R211L1S14	Est-1:acd6-null	29	F_Z
R211L1S36	Est-1:acd6-null	30	F_Z
R211L1S1	Est-1:acd6-null	31	F_Z
R211L1S37	Est-1:acd6-null	31	F_Z
R211L1S22	Est-1:acd6-null	32	F_Z
R211L1S16	Est-1:acd6-null	34	F_Z
R211L1S53	Est-1:acd6-null	34	F_Z
R211L1S70	Est-1:acd6-null	34	F_Z
R211L1S38	Est-1:acd6-null	36	F_Z
R211L1S56	Est-1:acd6-null	36	F_Z
R211L1S33	Est-1:acd6-null	37	F_Z
