Sample	F_primer	frameshift_combo	Harvest_date	Site
A11p515F2F4F6_W	515	F2F4F6	31_03_2016	Dettenhausen/ Pfrondorf2
A4p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
A5p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
A8p515F1F3F5_W	515	F1F3F5	24_03_2016	Eyach
B12p515F2F4F6_W	515	F2F4F6	31_03_2016	Dettenhausen/ Pfrondorf2
B8p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
C11p515F1F3F5_W	515	F1F3F5	24_03_2016	Eyach
C1p515F2F4F6_W	515	F2F4F6	15_12_2015	Dettenhausen
C4p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
C5p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
D2p515F1F3F5_W	515	F1F3F5	06_04_2016	Pfrondorf
D5p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
E2p515F2F4F6_W	515	F2F4F6	15_12_2015	Dettenhausen
E3p515F1F3F5_W	515	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
E3p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
E4p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
E6p515F1F3F5_W	515	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
E7p515F1F3F5_W	515	F1F3F5	24_03_2016	Eyach
F10p515F1F3F5_W	515	F1F3F5	24_03_2016	Eyach
F10p515F2F4F6_W	515	F2F4F6	06_04_2016	Pfrondorf
F11p515F1F3F5_W	515	F1F3F5	24_03_2016	Eyach
F12p515F1F3F5_W	515	F1F3F5	24_03_2016	Eyach
F12p515F2F4F6_W	515	F2F4F6	31_03_2016	Dettenhausen/ Pfrondorf2
F6p515F1F3F5_W	515	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
F8p515F1F3F5_W	515	F1F3F5	24_03_2016	Eyach
G3p515F1F3F5_W	515	F1F3F5	31_03_2016	Dettenhausen/ Pfrondorf2
G7p515F2F4F6_W	515	F2F4F6	11_12_2015	Eyach
G9p515F1F3F5_W	515	F1F3F5	24_03_2016	Eyach
H2p515F2F4F6_W	515	F2F4F6	15_12_2015	Dettenhausen
H8p515F2F4F6_W	515	F2F4F6	31_03_2016	Dettenhausen/ Pfrondorf2
