Sample	Genotype	Site	Flat_Pot_Code
R82L1S15	HIF_Col	GH_Tue	10_04
R82L1S40	HIF_Est	GH_Tue	10_06
R82L1S42	HIF_Col	GH_Tue	10_08
R82L1S34	HIF_Est	GH_Tue	10_10
R82L1S92	HIF_Col	GH_Tue	10_13
R82L1S44	HIF_Col	GH_Tue	10_14
R82L1S33	HIF_Est	GH_Tue	10_18
R82L1S20	HIF_Est	GH_Tue	10_20
R82L1S82	HIF_Est	GH_Tue	10_22
R82L1S28	HIF_Col	GH_Tue	10_30
R82L1S87	HIF_Col	GH_Tue	10_31
R82L1S88	HIF_Est	GH_Tue	10_32
R82L1S59	HIF_Est	GH_Tue	10_39
R82L1S48	HIF_Col	F_Tue	25_05
R82L1S56	HIF_Col	F_Tue	25_06
R82L1S90	HIF_Est	F_Tue	25_07
R82L1S4	HIF_Est	F_Tue	25_10
R82L1S8	HIF_Est	F_Tue	25_15
R82L1S35	HIF_Col	F_Tue	25_17
R82L1S52	HIF_Col	F_Tue	25_18
R82L1S76	HIF_Col	F_Tue	25_21
R82L1S37	HIF_Est	F_Tue	25_25
R82L1S10	HIF_Est	F_Tue	25_27
R82L1S72	HIF_Est	F_Tue	25_28
R82L1S69	HIF_Col	F_Tue	25_30
R82L1S84	HIF_Col	F_Tue	25_36
R82L1S93	HIF_Col	F_Tue	27_01
R82L1S11	HIF_Col	F_Tue	27_02
R82L1S83	HIF_Est	F_Tue	27_05
R82L1S89	HIF_Col	F_Tue	27_08
R82L1S45	HIF_Est	F_Tue	27_12
R82L1S81	HIF_Est	F_Tue	27_14
R82L1S32	HIF_Col	F_Tue	27_25
R82L1S96	HIF_Col	F_Tue	27_28
R82L1S85	HIF_Col	F_Tue	27_32
R82L1S22	HIF_Est	F_Tue	27_34
R82L1S64	HIF_Est	F_Tue	27_37
R82L1S70	HIF_Est	F_Tue	27_38
R82L1S55	HIF_Est	F_Tue	27_40
R82L1S12	HIF_Col	GH_Tue	9_01
R82L1S19	HIF_Col	GH_Tue	9_05
R82L1S68	HIF_Est	GH_Tue	9_12
R82L1S73	HIF_Col	GH_Tue	9_14
R82L1S91	HIF_Est	GH_Tue	9_15
R82L1S36	HIF_Col	GH_Tue	9_18
R82L1S61	HIF_Col	GH_Tue	9_21
R82L1S26	HIF_Est	GH_Tue	9_33
R82L1S77	HIF_Col	GH_Tue	9_34
R82L1S53	HIF_Est	GH_Tue	9_35
R82L1S65	HIF_Est	GH_Tue	9_40
R82L1S17	Est1_acd6NULL	GH_Tue	4_05
R82L1S21	Est1_acd6NULL	GH_Tue	8_19
R82L1S25	Est1_acd6NULL	GH_Tue	1_18
R82L1S27	Est1_acd6NULL	GH_Tue	1_33
R82L1S2	Est1	GH_Tue	5_28
R82L1S30	Est1_acd6NULL	GH_Tue	3_08
R82L1S31	Est1_acd6NULL	GH_Tue	2_32
R82L1S38	Est1	GH_Tue	6_32
R82L1S43	Est1	GH_Tue	6_14
R82L1S46	Est1_acd6NULL	GH_Tue	2_24
R82L1S47	Est1	GH_Tue	3_15
R82L1S49	Est1_acd6NULL	GH_Tue	1_17
R82L1S50	Est1	GH_Tue	6_22
R82L1S58	Est1	GH_Tue	1_20
R82L1S60	Est1	GH_Tue	4_08
R82L1S62	Est1	GH_Tue	8_03
R82L1S66	Est1_acd6NULL	GH_Tue	8_40
R82L1S71	Est1_acd6NULL	GH_Tue	8_33
