Otu7	d:Fungi(1.0000),p:Ascomycota(0.0100),c:Dothideomycetes(0.0100),o:Capnodiales(0.0100),f:Cladosporiaceae(0.0100),g:Cladosporium(0.0100),s:Cladosporium_grevilleae_SH176536.07FU(0.0100)	+	d:Fungi
Otu1	d:Fungi(1.0000)	+	d:Fungi
Otu11	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Phaeosphaeriaceae(0.2300),g:Chaetosphaeronema(0.2100)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
Otu2	d:Fungi(1.0000),p:Basidiomycota(0.7400),c:Tremellomycetes(0.7400),o:Holtermanniales(0.7400),f:Holtermanniales_fam_Incertae_sedis(0.7400),g:Holtermanniella(0.7400),s:Holtermanniella_takashimae_SH526070.07FU(0.7400)	+	d:Fungi
Otu5	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Helotiaceae(1.0000),g:Articulospora(1.0000)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora
Otu12	d:Fungi(1.0000),p:Ascomycota(0.0900),c:Dothideomycetes(0.0900),o:Pleosporales(0.0900),f:Pleosporaceae(0.0900),g:Alternaria(0.0900)	+	d:Fungi
Otu3	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Helotiales_fam_Incertae_sedis(0.9900),g:Volucrispora(0.9800),s:Volucrispora_graminea_SH186781.07FU(0.9800)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiales_fam_Incertae_sedis,g:Volucrispora,s:Volucrispora_graminea_SH186781.07FU
Otu8	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.0100),s:Thanatephorus_cucumeris_SH218678.07FU(0.0100)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu10	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.4700),s:Thanatephorus_cucumeris_SH218698.07FU(0.3000)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu9	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu6	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Rhizoctonia(0.0300)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu4	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Helotiaceae(1.0000),g:Articulospora(1.0000)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora
Otu16	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Helotiaceae(1.0000),g:Articulospora(1.0000)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora
Otu15	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Tremellomycetes(1.0000)	+	d:Fungi,p:Basidiomycota,c:Tremellomycetes
Otu21	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.0100),s:Thanatephorus_cucumeris_SH218678.07FU(0.0100)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
