OTU_ID	F10p515F2F4F6	D5p515F2F4F6	E6p515F1F3F5	H8p515F2F4F6	C1p515F2F4F6	F8p515F1F3F5	A4p515F2F4F6	A8p515F1F3F5	A11p515F2F4F6	A5p515F2F4F6	C4p515F2F4F6	B12p515F2F4F6	F10p515F1F3F5	F11p515F1F3F5	G9p515F1F3F5	E3p515F1F3F5	E7p515F1F3F5	H2p515F2F4F6	E4p515F2F4F6	F6p515F1F3F5	C11p515F1F3F5	F12p515F1F3F5	B8p515F2F4F6	F12p515F2F4F6	G7p515F2F4F6	E3p515F2F4F6	C5p515F2F4F6	E2p515F2F4F6	D2p515F1F3F5	G3p515F1F3F5
Otu161	37	0	21	54	1	34	1	10	1	17	0	58	169	15	5	72	5	3	44	22	7	30	19	107	1	6	0	1	0	53
Otu16	0	13	37	2	0	12	20	1165	0	14	33	67	25	17	2	617	0	411	366	36	1970	110	949	24	952	85	1535	1963	1	245
Otu57	102	15	56	41	0	54	17	86	3	0	4	141	36	153	141	192	65	12	68	55	423	168	74	64	36	11	15	1	0	68
Otu67	108	11	144	2	12	139	21	308	10	38	2	352	199	197	52	557	0	96	105	181	73	213	22	253	51	44	108	232	0	234
Otu40	490	335	67	23	21	21	25	113	44	12	22	119	35	26	49	36	4	104	184	60	265	111	71	54	448	2173	200	55	102	41
Otu3	3013	1397	2489	846	471	1122	298	3168	3362	971	974	6557	2095	2194	1090	5020	544	4195	1417	1774	1082	3126	1767	4359	892	301	1810	8932	1438	2258
Otu2	5	349	178	8	1	121	883	10899	5	393	17245	5702	3178	10127	28793	1826	3964	54	3658	146	14060	11509	2142	2841	10203	1224	5164	1760	23	255
Otu73	2	0	0	1	0	0	688	58	0	4	0	96	8	10	0	4	547	61	21	0	16	246	89	344	5	3	16	1	0	0
Otu1919	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	2	1	10	0	0	0	1	0	0
Otu94	88	11	4	1	3	134	5	168	18	6	1	265	120	39	2	72	654	3	39	1	277	63	20	159	4	134	54	1	1	1
Otu4	859	607	421	199	66	588	879	830	7	4404	18	592	2488	113	361	1143	2511	180	959	313	2453	644	2224	929	672	307	186	1457	259	1480
Otu12	0	0	11	26	0	94	149	1954	0	20	23	158	22	64	30	656	7685	202	285	4	31	1289	316	429	418	807	149	3897	2	14
Otu5	434	3696	729	124	20	655	2069	662	0	2842	28	1105	520	1215	1332	887	104	178	1541	807	251	449	156	1783	855	603	1573	270	560	892
Otu102	8	3	22	13	0	0	3	91	1	4	27	44	66	132	88	77	44	63	81	23	71	44	143	209	82	4	63	133	0	78
Otu32	79	484	426	8	7	102	817	270	39	562	8	178	120	198	28	50	133	373	85	154	74	85	800	188	253	46	450	280	125	28
Otu1171	1	0	1	32	0	2	0	3	0	0	0	1	3	2	2	1	0	1	0	2	2	1	0	1	0	0	0	1	0	9
Otu21	309	2057	1764	155	722	1135	1649	243	501	105	831	286	405	889	2396	262	487	1028	469	1173	559	48	371	931	529	747	369	222	198	228
Otu23	1	5	37	3	3	8	42	52	0	13	593	71	37	18	76	1009	0	49	123	19	253	1751	349	1521	51	1463	1308	4552	0	11
Otu34	37	56	38	52	9	128	44	2157	6	78	13	422	840	117	97	108	298	146	254	35	1110	521	433	274	1894	276	162	145	2	35
Otu309	10	11	6	7	0	6	0	26	0	10	3	18	69	54	21	15	35	8	8	1	33	8	10	6	15	13	23	11	0	13
Otu30	127	1009	827	112	389	436	732	111	317	89	425	165	171	381	872	138	253	583	196	459	229	28	191	524	236	357	178	111	113	120
Otu1329	2	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0
Otu8944	2	0	0	0	0	17	40	18	0	2	0	6	13	4	0	3	0	3	2	1	2	8	0	4	1	6	3	3	0	12
Otu985	1	0	0	12	0	0	0	5	0	0	0	0	0	56	0	0	0	5	0	2	2	4	0	0	0	1	0	0	10	3
Otu571	11	4	0	0	0	8	4	2	0	38	0	0	2	13	0	0	22	0	0	0	12	11	2	5	0	0	2	0	0	0
Otu210	16	268	24	1	7	59	23	81	0	67	20	33	39	84	7	25	3	8	52	35	26	43	37	50	16	31	59	2	5	48
Otu1413	4	0	3	0	0	2	26	19	0	2	0	21	12	1	1	6	0	3	11	1	6	10	1	15	7	18	7	21	0	22
Otu122	80	5	1	0	0	140	29	217	0	10	2	200	7	27	18	24	63	0	3	1	29	101	6	103	9	15	10	0	98	8
Otu1354	11	0	0	0	0	1	32	0	0	0	0	0	1	0	0	3	0	4	0	0	1	0	0	0	0	0	0	5	36	0
Otu6	0	91	0	1	2	5062	4693	4	1	230	2234	1	349	81	2	16	122	0	112	5	8	1683	3	163	1	285	0	376	0	0
Otu508	2	0	6	11	0	0	0	1	0	0	0	61	0	3	0	2	0	0	0	1	0	5	0	41	0	0	0	0	0	13
Otu176	27	38	12	3	2	117	86	31	10	2	17	53	14	16	25	41	117	11	159	6	30	78	25	20	84	12	24	27	0	27
Otu1	15741	8729	12487	4307	284	14492	615	524	398	3403	1248	4143	17865	6672	5160	6167	729	235	3136	11412	3756	988	1510	6976	4516	41	16047	7	2882	9529
Otu80	0	0	1	1	0	2	1	741	0	0	5	0	0	1	1	12	0	2	3	2	11	257	85	0	240	4	20	33	0	19
Otu52	66	7	511	36	6	234	268	347	9	134	7	170	133	243	44	71	84	75	292	514	287	331	315	72	648	195	540	216	39	33
Otu10	706	3608	672	269	287	1026	2311	350	67	2297	432	914	738	566	548	406	196	105	386	641	412	288	2057	615	643	4725	440	45	253	582
Otu45	8	431	14	21	0	70	14	676	19	17	31	56	204	340	486	32	419	129	424	5	273	88	149	40	84	90	83	106	147	85
Otu27	2	300	5	14	14	33	44	251	0	719	279	1271	87	189	154	183	32	664	740	8	832	40	1024	178	742	298	1567	541	8	198
Otu43	379	237	49	128	26	184	87	669	14	88	35	154	606	290	427	144	865	27	80	26	279	25	404	361	271	264	166	72	117	55
Otu14	100	624	626	67	38	827	1635	570	43	1055	814	184	155	408	598	239	1399	163	269	825	209	408	948	786	745	2293	556	64	358	631
Otu50	62	56	85	7	20	102	349	102	0	83	10	191	136	75	223	150	62	138	171	51	80	256	39	186	9	55	167	76	34	38
Otu105	169	64	4	41	0	367	59	4	1	6	9	48	0	188	1	4	1	7	1123	4	0	5	7	17	8	16	24	83	0	94
Otu63	0	0	7	0	0	3	0	360	6	8	1	60	122	52	56	1	0	9	1863	2	647	1580	1430	0	3797	1235	86	12	0	3
Otu36	319	79	21	10	83	109	289	581	333	677	61	190	223	1738	44	40	76	158	319	19	243	63	178	151	28	317	179	211	15	13
Otu268	0	2	0	4	0	1	42	23	0	0	1	10	1	2	0	0	27	10	1	0	0	10	466	2	4	47	8	41	0	0
Otu9	285	421	117	516	87	242	6450	605	93	333	30	1154	337	141	175	227	123	267	941	130	58	135	71	1275	368	1316	261	719	76	1394
Otu22	7	11	2	6	28	95	533	1255	290	423	23	84	1218	294	65	58	742	417	231	5	594	59	2724	61	761	147	1058	281	14	46
Otu59	333	120	172	36	4	234	252	88	0	23	30	151	6	64	50	16	26	1	48	167	11	294	173	262	99	62	59	1	28	62
Otu354	1	2	2	5	0	2	36	7	3	50	0	13	39	5	23	2	1	5	18	0	5	11	17	7	6	6	5	2	53	2
Otu431	9	77	1	2	1	4	6	8	1	14	8	17	8	29	0	1	4	12	3	1	26	17	3	8	12	24	3	1	0	1
Otu7	570	1300	1550	690	136	1139	301	1200	44	518	181	1024	535	1019	603	705	276	170	597	1379	405	592	479	1950	1043	365	488	163	684	1275
Otu13	1355	1883	619	39	260	1460	645	445	10	1413	447	651	452	522	180	580	227	211	793	494	124	277	736	960	1065	310	719	217	344	398
Otu844	22	0	0	2	0	1	0	0	0	1	0	2	0	0	0	1	8	6	0	1	0	0	1	12	0	0	0	1	0	6
Otu760	1	4	1	0	0	22	11	3	0	1	0	15	2	0	48	2	9	0	4	0	12	9	0	25	1	5	0	0	0	2
Otu70	6	0	6	0	0	18	14	1189	0	345	0	78	429	661	32	40	124	41	29	12	194	14	98	49	315	55	92	2	132	8
Otu7209	3	1	8	0	0	12	10	10	1	0	3	11	10	17	43	27	3	5	10	26	24	4	1	12	8	24	11	4	0	5
Otu77	51	2	343	115	11	5	5	29	1	0	9	148	46	6	0	40	22	4	9	1084	1	47	3	206	3	8	6	69	0	279
Otu189	46	61	2	10	3	30	14	5	0	4	11	13	3	0	9	1	11	2	8	1	0	672	1	4	0	39	6	21	0	2
Otu26	54	218	44	0	117	106	349	279	46	157	141	257	283	155	4	174	1	367	692	33	4	323	381	80	188	71	257	358	197	39
Otu11	863	607	684	102	67	680	255	1282	140	296	151	1824	727	1074	207	909	291	789	1096	711	785	593	1152	1807	479	1203	1518	2398	92	124
Otu29	12	922	220	83	7	46	225	234	0	451	161	293	100	22	11	31	50	31	85	160	131	194	989	582	195	597	559	46	6	280
Otu54	411	280	1	3	52	46	13	95	0	9	9	63	26	38	146	44	16	151	20	0	3	4	36	28	31	15	179	73	50	40
Otu28	52	217	2	0	19	38	906	75	4	90	487	144	82	131	0	85	45	77	271	0	1	52	56	86	75	12	38	245	113	47
Otu51	98	387	418	53	167	295	400	71	180	60	188	113	73	132	321	58	107	330	121	300	117	21	76	343	138	214	102	66	180	103
Otu8588	0	0	1	0	0	9	3	30	0	0	0	2	9	3	1	12	0	2	3	0	20	1	1	2	8	4	12	4	0	2
Otu8	398	45	479	1219	239	581	715	962	212	973	42	286	617	1925	3	259	884	4983	326	430	416	91	540	332	53	93	55	2030	464	697
Otu519	3	0	0	0	0	9	7	9	0	1	0	12	13	17	4	7	1	0	3	0	0	1	38	69	6	7	31	0	0	0
Otu61	234	178	72	45	17	108	107	38	2	78	82	144	128	194	15	29	128	11	28	43	201	133	60	85	56	36	70	3	159	194
Otu1116	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	1	0	1	0	0	0	6	1	0	0	0	0	0	0
Otu422	0	0	0	0	1	12	10	9	0	14	4	1	5	9	21	0	19	1	18	0	15	36	48	3	6	34	9	0	0	1
Otu56	66	218	1	0	0	1	243	315	0	1065	12	58	36	41	47	29	1	2	313	0	4	114	808	0	6	965	47	0	137	0
Otu85	47	100	26	59	4	27	4	319	14	5	3	221	21	519	457	55	327	19	30	26	175	964	67	45	32	16	12	15	0	36
Otu775	0	0	0	1	1	0	0	5	1	0	0	5	4	0	0	2	0	2	37	0	14	0	0	4	1	2	1	1	0	0
Otu5742	0	0	2	0	0	0	1	34	0	1	0	11	19	35	4	7	0	0	11	4	29	12	2	8	19	5	32	7	0	0
Otu453	172	5	8	2	0	12	69	36	0	2	0	17	2	18	3	4	26	0	19	13	0	26	33	9	1	7	0	0	0	9
Otu42	165	179	306	188	101	215	114	180	324	125	36	178	263	161	163	115	149	485	334	266	207	37	492	277	104	501	260	259	57	191
